"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.17763.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7-PDF Printer 12.2.0.2905","12.2.0.2905","7-PDF, Germany - Th. Niebergall-Hodes","20211005"
"7-Zip 19.00 (x64)","19.00","Igor Pavlov",
"Adobe Acrobat Reader - Deutsch","23.003.20284","Adobe Systems Incorporated","20230911"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20230910"
"Advanced IP Scanner 2.5","2.5.3850","Famatech","20210406"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.17763.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.17763.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.17763.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"InputApp","1000.17763.1.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft Edge","131.0.2903.70","Microsoft Corporation","20210406"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31938","14.34.31938.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20241203"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20241203"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.34.31938","14.34.31938","Microsoft Corporation","20230505"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.34.31938","14.34.31938","Microsoft Corporation","20230505"
"Notepad++ (64-bit x64)","8.4.8","Notepad++ Team",
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220309"
"TeamViewer Host","15.45.3","TeamViewer",
"VMware Tools","10.3.10.12406962","VMware, Inc.","20210406"
"Wazuh Agent","4.7.3","Wazuh, Inc.","20250110"
