"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20210419"
"7-Zip 19.00 (x64)","19.00","Igor Pavlov",
,,,
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20210726"
"Notepad++ (64-bit x64)","8.1.5","Notepad++ Team",
"Microsoft 365 Apps for Business - de-de","16.0.18129.20158","Microsoft Corporation",
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
,,,
"PDF24 Creator","10.0.12","geek software GmbH","20210411"
"Microsoft SQL Server 2005-Abwärtskompatibilität","8.05.2309","Microsoft Corporation","20210514"
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20210411"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20211119"
"VMware Tools","11.3.5.18557794","VMware, Inc.","20230722"
"Kisters 3DViewStation 2022.3.428","2022.3.428-3caa065665","Kisters AG","20220620"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","20240714"
"nomacs - Image Lounge","3.8.0","TU Wien","20210411"
"Office 16 Click-to-Run Licensing Component","16.0.18129.20158","Microsoft Corporation","20241117"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.18129.20100","Microsoft Corporation","20241117"
"Bonjour","2.0.2.0","Apple Inc.","20211027"
"Microsoft SQL Server 2012 Native Client ","11.4.7001.0","Microsoft Corporation","20241211"
"Pulseway","8.6.8","MMSOFT Design","20210412"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Duo Authentication for Windows Logon x64","4.3.0.4367","Duo Security Inc.","20240328"
"paint.net","4.3.12","dotPDN LLC","20221019"
"PDF-XChange 4","4.0.203.0","Tracker Software Products Ltd","20210514"
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220309"
