"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20240809"
,,,
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20240809"
,,"Microsoft Corporation",
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
,,,
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20240905"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240809"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20241220"
"Intel® PROSet/Wireless WiFi Software","20.110.0.2602","Intel Corporation","20240819"
"PDF24 Creator","11.1.0","geek software GmbH","20240809"
"Office 16 Click-to-Run Licensing Component","16.0.18227.20162","Microsoft Corporation","20241217"
"Office 16 Click-to-Run Extensibility Component","16.0.18227.20082","Microsoft Corporation","20241217"
"Office 16 Click-to-Run Localization Component","16.0.18227.20082","Microsoft Corporation","20241217"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241114"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240809"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20240809"
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20240809"
"FortiClient VPN","7.0.0.0029","Fortinet Technologies Inc","20240809"
