"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20240917"
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241211"
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.ThunderboltControlCenter","1.0.37.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.2.11083.0","DocuWare","20240918"
"DocuWare Edit & Send","7.2.11083.0","DocuWare","20240918"
"DocuWare OCR","10.0.0.0","DocuWare","20240918"
"DocuWare Printer","7.2.11083.0","DocuWare","20240918"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20240917"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FileZilla 3.67.1","3.67.1","Tim Kosse",
"FortiClient VPN","7.0.0.0029","Fortinet Technologies Inc","20240917"
"Google Chrome","131.0.6778.205","Google LLC","20250107"
"KARAT - Setup 6.0",,,
"Kisters 3DViewStation 2024.6.410","2024.6.410-d79d9e4092","Kisters AG","20241028"
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20240910"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241116"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20240910"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20240918"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20240924"
