"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"5319275A.WhatsAppDesktop","2.2450.6.0","CN=24803D75-212C-471A-BC57-9EF86AB91435",
"7-Zip 23.01 (x64)","23.01","Igor Pavlov",
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241213"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241027"
"AdobeAcrobatReaderCoreApp","23.0.0.0","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"AnyDesk","ad 8.0.10","AnyDesk Software GmbH",
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AVM FRITZ!fax für FRITZ!Box",,"AVM Berlin",
"BDContextualMenu","1.0.0.1","CN=Bitdefender SRL, OU=DEVSUP CL, O=Bitdefender SRL, L=Bucharest, C=RO",
"Bitdefender Agent","27.0.1.290","Bitdefender",
"Bitdefender Total Security","27.0.20.105","Bitdefender",
"Bitwarden","2023.9.1","Bitwarden Inc.",
"Brave","131.1.73.104","Die Brave-Autoren","20241220"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Designer 3","0.9.142","motiondrive AG","Do Dez 14 12:25:34 2023"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Java 8 Update 381 (64-bit)","8.0.3810.9","Oracle Corporation","20231005"
"Java Auto Updater","2.8.381.9","Oracle Corporation","20231005"
"MailStore Client 13.0.2.20052","13.100.20052","MailStore Software GmbH","20240520"
"MailStore Outlook Add-in 24.3.0.22356","24.100.22356","MailStore Software GmbH","20241003"
"Microsoft 365 Apps for Enterprise - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20241221"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20241221"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20241214"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20231104"
"Microsoft Visual C++ 2005 Redistributable","8.0.56336","Microsoft Corporation","20240423"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.50727.42","Microsoft Corporation","20240423"
"Microsoft.MicrosoftEdge.Stable","130.0.2849.56","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdgeDevToolsClient","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MSPaint","6.2410.13017.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Framework.2.2","2.2.29512.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Runtime.2.2","2.2.28604.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OutlookForWindows","1.2024.1002.100","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Paint","11.2410.39.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.PowerAutomateDesktop","1.0.1329.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.CallingShellApp","1000.22621.1.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.DevHome","0.1900.687.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"microsoft.windowscommunicationsapps","16005.14326.22113.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WindowsNotepad","11.2410.21.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Winget.Platform.Source","2024.105.1947.899","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Main.1.5","5001.311.2039.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MicrosoftCorporationII.WinAppRuntime.Singleton","6000.318.2304.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"MSTeams","24335.208.3315.1951","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"NcsiUwpApp","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Nextcloud","3.10.0.20230915","Nextcloud GmbH","20231005"
"Notion 2.2.1","2.2.1","Notion Labs, Inc",
"NVIDIA Ansel","7.0.506.0","NVIDIA Corporation","20231005"
"NVIDIA Display Container","1.11","NVIDIA Corporation","20231005"
"NVIDIA Display Container LS","1.11","NVIDIA Corporation","20231005"
"NVIDIA Display Session Container","1.11","NVIDIA Corporation","20231005"
"NVIDIA Display Watchdog Plugin","1.11","NVIDIA Corporation","20231005"
"NVIDIA Grafiktreiber 430.91","430.91","NVIDIA Corporation","20231005"
"NVIDIA Install Application","2.1002.324.0","NVIDIA Corporation","20231005"
"NVIDIA Systemsteuerung 398.35","398.35","NVIDIA Corporation","20231005"
