"DisplayName","DisplayVersion","Publisher","InstallDate"
"1258EllAbi.MoveMouse","4.18.5.0","CN=63DBE16F-F2A6-4DBC-BF53-83848FED6966",
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"4505Fortemedia.FMAPOControl2","2.1.37.0","CN=DC696A1A-C35B-41EC-9C89-CC577F52CD81",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20240508"
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241212"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241028"
"Advanced IP Scanner 2.5.1","2.5.4594.1","Famatech","20240610"
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Checklist_Druckguss_die casting 5.00","5.00","Schmale GmbH","20240802"
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DeepL","24.11.4","DeepL SE","20241128"
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20241220"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20241220"
"DocuWare OCR","13.0.0.0","DocuWare","20241220"
"DocuWare Printer","7.10.12703.0","DocuWare","20241220"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20240508"
"E046963F.LenovoCompanion","10.2411.25.0","CN=8F32EFB2-B494-4AEC-A27C-4B0736252363",
"E0469640.SmartAppearance","2.3.54.0","CN=20E7E2C9-A2A9-4A02-BB29-6FCFB9E042BB",
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"ELANMicroelectronicsCorpo.ELANTrackPointforThinkpa","24.121.51.0","CN=57A06FA0-5F13-4DAB-BA24-86B5877A6B76",
"ELANMicroelectronicsCorpo.TrackPoint","24.121.52.0","CN=57A06FA0-5F13-4DAB-BA24-86B5877A6B76",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FortiClient VPN","7.0.0.0029","Fortinet Technologies Inc","20240508"
"FoscamVMS","3.11.410","Foscam","20240801"
"Google Chrome","131.0.6778.205","Google LLC","20241220"
"Hardlock Gerätetreiber",,,
"Hardlock Server",,,
