"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7EE7776C.LinkedInforWindows","3.0.41.0","CN=DDCCB5DA-E820-43B5-B58C-BEF830E60516",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20230922"
"7-Zip 19.00 (x64)","19.00","Igor Pavlov",
"Adobe Acrobat (64-bit)","24.004.20272","Adobe","20241118"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241029"
"AdobeAcrobatReaderCoreApp","23.0.0.0","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"AppUp.IntelGraphicsControlPanel","3.3.0.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.IntelOptaneMemoryandStorageManagement","18.1.1041.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"Dell Command | Update for Windows Universal","5.2.0","Dell Inc.","20240229"
"Dell Digital Delivery Services","5.3.0.0","Dell Inc.","20241105"
"Dell Power Manager Service","3.15.0","Dell Inc.","20230809"
"Dell SupportAssist","3.6.0.97","Dell Inc.","20200915"
"DellInc.DellCommandUpdate","5.2.59.0","CN=F005DA31-7CE1-4D3E-ABEE-08A4AFF4F592",
"DellInc.DellDigitalDelivery","5.3.0.0","CN=F005DA31-7CE1-4D3E-ABEE-08A4AFF4F592",
"DellInc.DellPowerManager","3.15.14.0","CN=F005DA31-7CE1-4D3E-ABEE-08A4AFF4F592",
"DellInc.DellSupportAssistforPCs","3.6.6.0","CN=F005DA31-7CE1-4D3E-ABEE-08A4AFF4F592",
"DocuWare Desktop Framework","7.2.11083.0","DocuWare","20230922"
"DocuWare Edit & Send","7.2.11083.0","DocuWare","20230922"
"DocuWare OCR","10.0.0.0","DocuWare","20230922"
"DocuWare Printer","7.2.11083.0","DocuWare","20230922"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20230922"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20240213"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FortiClient VPN","7.0.0.0029","Fortinet Technologies Inc","20220317"
"Goodix Fingerprint Driver","3.0.36.200","Goodix, Inc.","20190720"
"Google Chrome","131.0.6778.205","Google LLC","20250107"
"Google Update Helper","1.3.36.51","Google LLC","20201223"
"Google Update Helper","1.3.99.0","Google Inc.","20190912"
"Intel(R) Chipset Device Software","10.1.17903.8106","Intel(R) Corporation",
"Intel(R) Dynamic Platform and Thermal Framework","8.5.10103.7263","Intel Corporation",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20240213"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20240213"
"Intel(R) Management Engine Components","2345.5.42.0","Intel Corporation",
