"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"4505Fortemedia.FMAPOControl2","2.1.37.0","CN=DC696A1A-C35B-41EC-9C89-CC577F52CD81",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20240711"
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20250108"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20250108"
"DocuWare OCR","13.0.0.0","DocuWare","20250108"
"DocuWare Printer","7.10.12703.0","DocuWare","20250108"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20240711"
"E046963F.LenovoCompanion","10.2411.25.0","CN=8F32EFB2-B494-4AEC-A27C-4B0736252363",
"E0469640.SmartAppearance","2.3.54.0","CN=20E7E2C9-A2A9-4A02-BB29-6FCFB9E042BB",
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"ELANMicroelectronicsCorpo.ELANTrackPointforThinkpa","24.121.51.0","CN=57A06FA0-5F13-4DAB-BA24-86B5877A6B76",
"ELANMicroelectronicsCorpo.TrackPoint","24.121.52.0","CN=57A06FA0-5F13-4DAB-BA24-86B5877A6B76",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FortiClient VPN","7.0.0.0029","Fortinet Technologies Inc","20240711"
"KARAT - Setup 6.0",,,
"Kisters 3DViewStation 2023.3.149","2023.3.149-09da31c41c","Kisters AG","20240916"
"Lenovo Now","3.13.0.15","Lenovo Group Ltd.",
"Lenovo Smart Appearance Components","2.3.41.0","Lenovo","20240305"
"Lenovo Vantage Service","4.2.24.0","Lenovo Group Ltd.","20250107"
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft OneNote - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20240711"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241122"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20240916"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20240916"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532","14.36.32532.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240711"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532","14.36.32532","Microsoft Corporation","20240916"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532","14.36.32532","Microsoft Corporation","20240916"
"Microsoft.549981C3F5F10","4.2308.1005.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Getstarted","10.2312.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdge.Stable","129.0.2792.52","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdgeDevToolsClient","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftJournal","1.23306.1292.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftOfficeHub","18.2501.1031.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftSolitaireCollection","4.21.12110.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MixedReality.Portal","2000.22041.1123.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Framework.2.2","2.2.29512.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Runtime.2.2","2.2.28604.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OneDriveSync","24221.1103.3.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OneDriveSync","24226.1110.4.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.OutlookForWindows","1.2024.1115.300","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Paint","11.2410.39.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.PowerAutomateDesktop","11.2412.242.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Todos","2.114.7122.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Whiteboard","54.20907.567.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
