"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200122"
"7-Zip 19.00 (x64)","19.00","Igor Pavlov",
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241213"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241025"
"AdobeAcrobatReaderCoreApp","23.0.0.0","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"baramundi Management Agent","16.1.2627.0","baramundi software AG","20200122"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Checklist_Druckguss_die casting 3.00 ","3.00","Schmale GmbH",
"Checklist_Druckguss_die casting 3.71","3.71","Schmale GmbH","20210225"
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20241220"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20241220"
"DocuWare OCR","13.0.0.0","DocuWare","20241220"
"DocuWare Printer","7.10.12703.0","DocuWare","20241220"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20211213"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20230614"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Google Chrome","131.0.6778.205","Google LLC","20191004"
"Hardlock Gerätetreiber",,,
"hasp add only for Office 64 Bit","6.3","Schmale GmbH","20210225"
"HP Client Security Manager","9.4.0.2770","HP Inc.",
"HP Connection Optimizer","2.0.15.0","HP Inc.","20190830"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.51.1","HP Inc.","20190615"
"HP Notifications","1.1.23.1","HP","20200618"
"HP PC Hardware Diagnostics UEFI","8.7.2.0","HP","20230614"
"HP Sure Click","4.1.6.3285","HP Inc.","20190830"
"HP Sure Sense Installer","1.2.31.0","HP Inc.","20200527"
"HP System Default Settings","1.4.16.7","HP Inc.","20230614"
"Intel(R) Chipset Device Software","10.1.17968.8131","Intel Corporation","20190830"
"Intel(R) Icls","1.0.0.0","Intel Corporation","20230614"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20230614"
"Intel(R) Management Engine Components","2227.3.14.0","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20230614"
"Intel(R) ME WMI Provider","1.0.0.0","Intel Corporation","20230614"
"Intel(R) Processor Graphics","25.20.100.6793","Intel Corporation",
"KARAT - Setup 6.0",,,
"Kisters 3DViewStation 2020.1.410","2020.1.410-b0eb69fc","Kisters AG","20220214"
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20250102"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20241220"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
