"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"172.20.0.251-BBA32D2E","1.0.0.1","CN=172.20.0.251, OID.2.25.311729368913984317654407730594956997722=1",
"172.20.0.251-F17B4EB7","1.0.0.0","CN=172.20.0.251, OID.2.25.311729368913984317654407730594956997722=1",
"7EE7776C.LinkedInforWindows","3.0.41.0","CN=DDCCB5DA-E820-43B5-B58C-BEF830E60516",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200122"
"7-Zip 19.00 (x64)","19.00","Igor Pavlov",
"A97ECD55.KYOCERAPrintCenter","4.3.11617.0","CN=C217ADB1-F397-44E2-B8F9-DB39EB3A98D2",
"AD2F1837.HPBusinessSlimKeyboard","1.0.2.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPJumpStarts","1.10.1627.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"Adobe Reader XI (11.0.23) - Deutsch","11.0.23","Adobe Systems Incorporated","20191218"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20191105"
"AppUp.IntelGraphicsControlPanel","3.3.0.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Citrix Authentication Manager","9.0.0.4178","Citrix Systems, Inc.","20191218"
"Citrix Receiver (DV)","14.7.0.13011","Citrix Systems, Inc.","20191218"
"Citrix Receiver (HDX Flash-Umleitung)","14.7.0.13011","Citrix Systems, Inc.","20191218"
"Citrix Receiver Inside","4.7.0.65534","Citrix Systems, Inc.","20191218"
"Citrix Receiver(Aero)","14.7.0.13011","Citrix Systems, Inc.","20191218"
"Citrix Web Helper","4.7.0.15674","Citrix Systems, Inc.","20191218"
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Client Setup","7.2.11083.0","DocuWare","20210528"
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20241220"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20241220"
"DocuWare Import","7.10.12703.0","DocuWare","20241220"
"DocuWare OCR","13.0.0.0","DocuWare","20241220"
"DocuWare Printer","7.10.12703.0","DocuWare","20241220"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20210531"
"DocuWare Scanner","7.10.12703.0","DocuWare","20241220"
"DocuWare Update","7.10.12703.0","DocuWare","20241220"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20190903"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Google Chrome","131.0.6778.205","Google LLC","20191105"
"HP Assess and Respond","1.1.44.1598","HP Inc.","20241205"
"HP Client Security Manager","9.5.4.2912","HP Inc.",
"HP Hotkey Support","6.2.51.1","HP Inc.","20190615"
"HP PC Hardware Diagnostics UEFI","8.1.0.0","HP","20210618"
"HP Security Update Service","4.4.21.937","HP Inc.","20241220"
"HP System Default Settings","1.4.8.2","HP Inc.","20190903"
"HP Wolf Security - Console","11.1.3.802","HP Inc.","20241220"
"HP Wolf Security Application Support for Chrome 116.0.5845.228","4.4.7.501","HP Inc.","20231103"
"HP Wolf Security Application Support for Chrome 118.0.5993.144","4.4.11.353","HP Inc.","20231206"
"HP Wolf Security Application Support for Chrome 118.0.5993.159","4.4.11.356","HP Inc.","20231207"
"HP Wolf Security Application Support for Chrome 120.0.6099.218","4.4.12.478","HP Inc.","20240122"
"HP Wolf Security Application Support for Chrome 122.0.6261.139","4.4.14.315","HP Inc.","20240411"
"HP Wolf Security Application Support for Chrome 122.0.6261.159","4.4.14.338","HP Inc.","20240521"
"HP Wolf Security Application Support for Chrome 122.0.6261.160","4.4.14.342","HP Inc.","20240604"
"HP Wolf Security Application Support for Chrome 124.0.6367.243","4.4.17.675","HP Inc.","20240701"
"HP Wolf Security Application Support for Chrome 126.0.6478.127","4.4.18.273","HP Inc.","20240812"
"HP Wolf Security Application Support for Chrome 126.0.6478.236","4.4.18.294","HP Inc.","20240906"
"HP Wolf Security Application Support for Chrome 128.0.6613.170","4.4.19.1538","HP Inc.","20241018"
"HP Wolf Security Application Support for Chrome 130.0.6723.152","4.4.19.1925","HP Inc.","20241220"
"HP Wolf Security Application Support for Windows","4.4.7.581","HP Inc.","20231116"
"Intel(R) Chipset Device Software","10.1.17968.8131","Intel Corporation","20190903"
"Intel(R) Icls","1.0.0.0","Intel Corporation","20190903"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20190903"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20190903"
"Intel(R) Management Engine Components","1915.12.0.1259","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20190903"
"Intel(R) OEM Extension","1.0.0.0","Intel Corporation","20190903"
"Intel(R) Processor Graphics","25.20.100.6793","Intel Corporation",
"KARAT - Setup 6.0",,,
"Microsoft 365 Apps for Business - de-de","16.0.16227.20280","Microsoft Corporation",
"Microsoft ASP.NET MVC 2","2.0.60926.0","Microsoft Corporation","20210722"
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20241220"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20250107"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20191105"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20250107"
"Microsoft Update Health Tools","3.70.0.0","Microsoft Corporation","20230203"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20190903"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20191105"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20191105"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20191105"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20191105"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft.549981C3F5F10","4.2308.1005.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Advertising.Xaml","10.1811.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Getstarted","10.2312.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
