"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200604"
"7-Zip 16.02","16.02","Igor Pavlov",
"Adobe Acrobat Reader - Deutsch","24.005.20320","Adobe Systems Incorporated","20241212"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241027"
"AdobeAcrobatReaderCoreApp","23.0.0.0","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20241220"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20241220"
"DocuWare Import","7.10.12703.0","DocuWare","20241220"
"DocuWare OCR","13.0.0.0","DocuWare","20241220"
"DocuWare Printer","7.10.12703.0","DocuWare","20241220"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20220404"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20200421"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Google Chrome","131.0.6778.205","Google LLC","20241220"
"GoTo 4.4.0","4.4.0","GoTo Group, Inc.",
"GoTo Opener","1.0.564","LogMeIn, Inc.","20231106"
"GoToMeeting 10.20.0.19992","10.20.0.19992","LogMeIn, Inc.",
"HP Client Security Manager","9.5.4.2912","HP Inc.",
"HP Connection Optimizer","2.0.15.0","HP Inc.","20200421"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.54.1","HP Inc.","20200228"
"HP Notifications","1.1.28.1","HP","20210526"
"HP PC Hardware Diagnostics UEFI","8.2.0.0","HP","20211006"
"HP Security Update Service","4.4.21.937","HP Inc.","20241220"
"HP System Default Settings","1.4.9.2","HP Inc.","20200421"
"HP Wolf Security - Console","11.1.3.802","HP Inc.","20241220"
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel(R) Corporation",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20200421"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20200421"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20200421"
"Intel(R) Management Engine Components","1946.12.0.1328","Intel Corporation",
