"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"22094SynapticsIncorporate.AudioControls","1.3.99.0","CN=5699BA41-022E-4685-9AD3-95C4C30DE78D",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200806"
"7-Zip 16.02","16.02","Igor Pavlov",
"AD2F1837.HPBusinessSlimKeyboard","1.0.2.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPJumpStarts","1.10.1627.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPPCHardwareDiagnosticsWindows","2.6.4.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPPrivacySettings","1.3.7.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"AD2F1837.HPSupportAssistant","9.41.29.0","CN=ED346674-0FA1-4272-85CE-3187C9C86E26",
"Adobe Acrobat Reader - Deutsch","22.003.20322","Adobe Systems Incorporated","20230216"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241026"
"AppUp.IntelGraphicsControlPanel","3.3.0.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"AppUp.IntelGraphicsExperience","1.100.5688.0","CN=EB51A5DA-0E72-4863-82E4-EA21C1F8DFE3",
"bisoft .NET Client","8.2.119","gbo-datacomp","20200806"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20241220"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20241220"
"DocuWare OCR","13.0.0.0","DocuWare","20241220"
"DocuWare Printer","7.10.12703.0","DocuWare","20241220"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20230510"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20240412"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Google Chrome","131.0.6778.265","Google LLC","20250109"
"HP Connection Optimizer","2.0.19.0","HP","20210708"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.55.1","HP Inc.","20210708"
"HP Notifications","1.1.28.1","HP","20210528"
"HP PC Hardware Diagnostics UEFI","8.7.2.0","HP","20221104"
"HP System Default Settings","1.4.16.14","HP Inc.","20230428"
"HP System Default Settings","1.4.16.7","HP Inc.","20221202"
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel(R) Corporation",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20240412"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20240412"
"Intel(R) Management Engine Components","2351.5.48.0","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20240412"
"Intel(R) ME WMI Provider","1.0.0.0","Intel Corporation","20240412"
"Intel(R) Processor Graphics","26.20.100.7261","Intel Corporation",
"KARAT - Setup 6.0",,,
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20241220"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20241221"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200806"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20250107"
"Microsoft Update Health Tools","2.84.0.0","Microsoft Corporation","20210924"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20200408"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20200806"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20200926"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20200926"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20200926"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50903","Microsoft Corporation",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50908","Microsoft Corporation","20200926"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation","20200926"
"Microsoft Visual Studio 2010-Tools für Office-Laufzeit (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation",
"Microsoft.549981C3F5F10","4.2308.1005.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Getstarted","10.2312.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Microsoft3DViewer","7.2407.16012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdge.Stable","131.0.2903.112","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftEdgeDevToolsClient","1000.22621.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftOfficeHub","18.2501.1031.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MicrosoftSolitaireCollection","4.21.12110.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MixedReality.Portal","2000.21051.1282.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.MSPaint","6.2410.13017.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Framework.1.3","1.3.24211.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Framework.1.7","1.7.27413.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.NET.Native.Framework.2.1","2.1.27427.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
