"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200922"
"7-Zip 16.02","16.02","Igor Pavlov",
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241210"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241024"
"AdobeAcrobatReaderCoreApp","23.0.0.0","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Citrix Authentication Manager","5.0.0.60597","Citrix Systems, Inc.","20200923"
"Citrix Receiver (DV)","14.0.0.91","Citrix Systems, Inc.","20200923"
"Citrix Receiver (HDX Flash-Umleitung)","14.0.0.91","Citrix Systems, Inc.","20200923"
"Citrix Receiver Inside","3.4.0.45902","Citrix Systems, Inc.","20200923"
"Citrix Receiver Updater","4.0.0.45893","Citrix Systems, Inc.","20200923"
"Citrix Receiver(Aero)","14.0.0.91","Citrix Systems, Inc.","20200923"
"Clipchamp.Clipchamp","3.1.11920.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"DocuWare Desktop Framework","7.2.11083.0","DocuWare","20200922"
"DocuWare Edit & Send","7.2.11083.0","DocuWare","20200922"
"DocuWare OCR","10.0.0.0","DocuWare","20200922"
"DocuWare Printer","7.2.11083.0","DocuWare","20200922"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20200408"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.22621.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FortiClient VPN","6.4.3.1608","Fortinet Technologies Inc","20210421"
"Google Chrome","131.0.6778.205","Google LLC","20241219"
"HP Client Security Manager","9.4.4.2851","HP Inc.",
"HP Connection Optimizer","2.0.15.0","HP Inc.","20200408"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.54.1","HP Inc.","20200228"
"HP Notifications","1.1.22.1","HP","20200228"
"HP Security Update Service","4.4.21.937","HP Inc.","20241220"
"HP System Default Settings","1.4.9.2","HP Inc.","20200408"
"HP Wolf Security","4.4.19.1661","HP Inc.","20241108"
"HP Wolf Security","4.4.21.937","HP Inc.","20241220"
"HP Wolf Security - Console","11.1.3.802","HP Inc.","20241220"
"HP Wolf Security Application Support for Chrome 130.0.6723.152","4.4.19.1925","HP Inc.","20241220"
"HP Wolf Security Application Support for Sure Sense","4.4.19.1414","HP Inc.","20241011"
"HP Wolf Security Application Support for Sure Sense","4.4.21.937","HP Inc.","20241220"
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel(R) Corporation",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20200408"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20200408"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20200408"
"Intel(R) Management Engine Components","1946.12.0.1328","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20200408"
"Intel(R) OEM Extension","1.0.0.0","Intel Corporation","20200408"
"Intel(R) Processor Graphics","26.20.100.7261","Intel Corporation",
"KARAT - Setup 6.0",,,
"Kundendienst","1.0.0.0","Lexmark International, Inc.","20200928"
"Lexmark Generic v4 XPS Printer Driver","1.0.0.0","Lexmark International, Inc.","20200928"
"Lexmark Network Twain Scan Driver","1.22.176.0","Lexmark International, Inc.","20200928"
"Lexmark Printer Driver Configuration Utility","3.7.0.0","Lexmark International, Inc.","20200928"
"Lexmark ScanBack Utility","5.4.0.0","Lexmark International, Inc.","20200928"
"Lexmark Universal v2 PS3 Print Driver","2.15.0.0","Lexmark International, Inc.","20200928"
"Lexmark V4 Printer Driver Configuration Utility","1.0.0.0","Lexmark International, Inc.","20200928"
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20240328"
"Microsoft Edge","89.0.774.54","Microsoft Corporation","20210316"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20241221"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200922"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20250107"
"Microsoft Update Health Tools","3.67.0.0","Microsoft Corporation","20230207"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20200408"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20200922"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20210327"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20210327"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20210327"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.34.31938","14.34.31938.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240425"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240425"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.34.31938","14.34.31938","Microsoft Corporation","20230503"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.34.31938","14.34.31938","Microsoft Corporation","20230503"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50903","Microsoft Corporation",
