"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20241018"
,,,
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20220303"
"Mozilla Firefox (x64 de)","98.0","Mozilla",
"Mozilla Maintenance Service","96.0","Mozilla",
,,"Microsoft Corporation",
,,"Microsoft Corporation",
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
,,"Microsoft Corporation",
,,,
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20220303"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240425"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20220303"
"Windows-PC-Integritätsprüfung","3.2.2110.14001","Microsoft Corporation","20220110"
"Office 16 Click-to-Run Licensing Component","16.0.18227.20162","Microsoft Corporation","20241214"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.18227.20082","Microsoft Corporation","20241214"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241119"
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241212"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240425"
"Microsoft Update Health Tools","2.93.0.0","Microsoft Corporation","20220111"
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220308"
"FortiClient VPN","7.0.0.0029","Fortinet Technologies Inc","20220331"
