"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200317"
,,,
"Kyocera Product Library","5.0.3527","KYOCERA Document Solutions Inc.",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50903","Microsoft Corporation",
"Microsoft Visual Studio 2010-Tools für Office-Laufzeit (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation",
,,"Microsoft Corporation",
,,"Microsoft Corporation",
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
,,"Microsoft Corporation",
,,,
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation","20200319"
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200317"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20200319"
"Microsoft Update Health Tools","3.74.0.0","Microsoft Corporation","20240926"
"Update for Windows 10 for x64-based Systems (KB5001716)","8.94.0.0","Microsoft Corporation","20240926"
"nomacs - Image Lounge","3.8.0","TU Wien","20200317"
"Office 16 Click-to-Run Licensing Component","16.0.18227.20162","Microsoft Corporation","20241217"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.18227.20082","Microsoft Corporation","20241217"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50908","Microsoft Corporation","20200319"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241114"
"NVIDIA Grafiktreiber 442.59","442.59","NVIDIA Corporation","20200319"
"NVIDIA PhysX-Systemsoftware 9.19.0218","9.19.0218","NVIDIA Corporation","20200319"
"NVIDIA HD-Audiotreiber 1.3.38.21","1.3.38.21","NVIDIA Corporation","20200319"
"NVIDIA Install Application","2.1002.344.0","NVIDIA Corporation","20200319"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Duo Authentication for Windows Logon x64","4.3.0.4367","Duo Security Inc.","20240404"
"Studie zur Verbesserung von HP ColorLaserJet M253-M254","44.7.2712.2022","HP Inc.","20201202"
,"255.255.65535.0",,
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220314"
