"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20240418"
"7-Zip 22.01 (x64)","22.01","Igor Pavlov",
"Windows Driver Package - HP Inc. BrFilter_4_1_9_1290 ActivityMonitor  (12/11/2019 4.1.9.1290)","12/11/2019 4.1.9.1290","HP Inc.",
,,,
"Windows Driver Package - HP Inc. BrCow_4_1_9_1290 ActivityMonitor  (12/11/2019 4.1.9.1290)","12/11/2019 4.1.9.1290","HP Inc.",
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20240418"
"HP Client Security Manager","9.4.4.2851","HP Inc.",
"HP Documentation","1.0.0.1","HP Inc.",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50903","Microsoft Corporation",
"Microsoft Visual Studio 2010-Tools für Office-Laufzeit (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation",
,,"Microsoft Corporation",
,,"Microsoft Corporation",
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"PDF Power Tool 4.0.0.11","4.0.0.11","pdfpowertool.com","20240418"
,,"Microsoft Corporation",
"TeamViewer","15.61.3","TeamViewer",
,,,
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel Corporation","20200408"
"Intel(R) ME WMI Provider","1.0.0.0","Intel Corporation","20240426"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation","20211215"
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200813"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Intel(R) Management Engine Components","2351.5.48.0","Intel Corporation",
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20211215"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20240426"
"Intel(R) Icls","1.0.0.0","Intel Corporation","20240426"
"HP Sure Click","4.1.9.1290","HP Inc.","20200408"
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20240426"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20240426"
"Kisters 3DViewStation 2020.1.410","2020.1.410-b0eb69fc","Kisters AG","20220210"
"PDF24 Creator","11.1.0","geek software GmbH","20240418"
"Microsoft Update Health Tools","3.67.0.0","Microsoft Corporation","20221007"
"nomacs - Image Lounge","3.8.0","TU Wien","20200813"
"Office 16 Click-to-Run Licensing Component","16.0.18227.20162","Microsoft Corporation","20241216"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.18227.20082","Microsoft Corporation","20241216"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50908","Microsoft Corporation","20211215"
"HP Client Security Manager","9.4.4.2851","HP Inc.","20200408"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20241220"
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241212"
"Microsoft SQL Server 2012 Native Client ","11.4.7001.0","Microsoft Corporation","20231215"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20200408"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
,"255.255.65535.0",,
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220314"
