"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20240418"
"7-Zip 16.02","16.02","Igor Pavlov",
"7-Zip 22.01 (x64)","22.01","Igor Pavlov",
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241212"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20241024"
"DocuWare Desktop Framework","7.10.12873.0","DocuWare","20250107"
"DocuWare Edit & Send","7.10.12703.0","DocuWare","20250107"
"DocuWare OCR","13.0.0.0","DocuWare","20250107"
"DocuWare Printer","7.10.12703.0","DocuWare","20250107"
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20240418"
"Dynamic Application Loader Host Interface Service","1.0.0.0","Intel Corporation","20240426"
"Google Chrome","131.0.6778.265","Google LLC","20250110"
"Google Update Helper","1.3.35.451","Google LLC","20200813"
"HP Client Security Manager","9.4.4.2851","HP Inc.","20200408"
"HP Connection Optimizer","2.0.15.0","HP Inc.","20200408"
"HP Documentation","1.0.0.1","HP Inc.",
"HP Hotkey Support","6.2.54.1","HP Inc.","20200228"
"HP Notifications","1.1.22.1","HP","20200228"
"HP Sure Click","4.1.9.1290","HP Inc.","20200408"
"HP Sure Sense Installer","1.2.31.0","HP Inc.","20200812"
"HP System Default Settings","1.4.9.2","HP Inc.","20200408"
"Intel(R) Chipset Device Software","10.1.18121.8164","Intel Corporation","20200408"
"Intel(R) Icls","1.0.0.0","Intel Corporation","20240426"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20240426"
"Intel(R) Management Engine Components","2351.5.48.0","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20240426"
"Intel(R) ME WMI Provider","1.0.0.0","Intel Corporation","20240426"
"Intel(R) Processor Graphics","26.20.100.7261","Intel Corporation",
"KARAT - Setup 6.0",,,
"Kisters 3DViewStation 2020.1.410","2020.1.410-b0eb69fc","Kisters AG","20220210"
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20250102"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20241220"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20200813"
"Microsoft SQL Server 2012 Native Client ","11.4.7001.0","Microsoft Corporation","20231215"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","20250110"
"Microsoft Update Health Tools","3.67.0.0","Microsoft Corporation","20221007"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20200408"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20200813"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20211215"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20211215"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20211215"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20220210"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20220210"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
