"DisplayName","DisplayVersion","Publisher","InstallDate"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200123"
"7-Zip 9.20",,,
"Adobe Reader XI (11.0.23) - Deutsch","11.0.23","Adobe Systems Incorporated","20171116"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20170829"
"baramundi Management Agent","16.1.2627.0","baramundi software AG","20180108"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Cherry SmartCard Package V3.3 Build 9","3.3.0.9","ZF Friedrichshafen AG, Electronic Systems","20190627"
"CodeMeter Runtime Kit v7.60a","7.60.5609.501","WIBU-SYSTEMS AG","20231120"
"E046963F.LenovoCompanion","10.2411.25.0","CN=8F32EFB2-B494-4AEC-A27C-4B0736252363",
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FluidSIM 6","6.1.3.2","Festo Didactic SE","20231120"
"Google Chrome","128.0.6613.138","Google, Inc.","20180208"
"GPL Ghostscript Lite 9.14.17",,"Free Distribution","20170817"
"hyperCAD-S 2021.1","27.0.22","OPEN MIND Technologies AG","20210413"
"hyperCAD-S 2021.1 Documentation Package English","27.0.19","OPEN MIND Technologies AG","20210413"
"hyperCAD-S 2021.1 Documentation Package German","27.0.19","OPEN MIND Technologies AG","20210413"
"hyperMILL 2021.1","27.0.32","OPEN MIND Technologies AG","20210413"
"hyperMILL 2021.1 Documentation Package English","27.0.19","OPEN MIND Technologies AG","20210413"
"hyperMILL 2021.1 Documentation Package German","27.0.19","OPEN MIND Technologies AG","20210413"
"hyperMILL 2021.1 License Manager","27.0.20","OPEN MIND Technologies AG","20210413"
"hyperMILL 2021.1 Suite SP1_HF1","27.0.58","OPEN MIND Technologies AG",
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20170512"
"Intel(R) Management Engine Components","11.6.0.1047","Intel Corporation",
"Intel(R) Network Connections 21.1.30.0","21.1.30.0","Intel","20170512"
"Intel(R) Processor Graphics","25.20.100.6518","Intel Corporation",
"Intel(R) Rapid Storage Technology","15.2.0.1020","Intel Corporation",
"Intel® Trusted Connect Service Client","1.44.398.0","Intel Corporation","20170512"
"IrfanView (remove only)","4.42","Irfan Skiljan",
"Java 9.0.4 (64-bit)","9.0.4.0","Oracle Corporation","20180425"
"KARAT - Setup 6.0",,,
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft Edge","131.0.2903.112","Microsoft Corporation","20241220"
"Microsoft Edge WebView2-Laufzeit","131.0.2903.112","Microsoft Corporation","20241221"
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20170817"
"Microsoft Teams","1.6.00.11166","Microsoft Corporation","20240702"
"Microsoft Update Health Tools","3.74.0.0","Microsoft Corporation","20240115"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20170512"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Microsoft Corporation","20170512"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Microsoft Corporation","20170914"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17","9.0.30729","Microsoft Corporation","20170914"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20181108"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17","9.0.30729","Microsoft Corporation","20170512"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148","9.0.30729.4148","Microsoft Corporation","20170512"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20170829"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20170817"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20170817"
