"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-PDF Printer 11.11.0.2804","11.11.0.2804","7-PDF, Germany - Th. Niebergall-Hodes","20200203"
"7-Zip 17.00 beta (x64)","17.00 beta","Igor Pavlov",
,,,
"DocuWare Printer PS 11.4.0.2674","11.4.0.2674","DocuWare","20230915"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50903","Microsoft Corporation",
"Microsoft Visual Studio 2010-Tools für Office-Laufzeit (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation",
,,"Microsoft Corporation",
,,"Microsoft Corporation",
"Microsoft 365 Apps for Business - de-de","16.0.18227.20162","Microsoft Corporation",
"Microsoft OneDrive","24.226.1110.0004","Microsoft Corporation",
,,"Microsoft Corporation",
"Vulkan Run Time Libraries 1.0.33.0","1.0.33.0","LunarG, Inc.",
"Vulkan Run Time Libraries 1.0.65.1","1.0.65.1","LunarG, Inc.",
,,,
"Intel® Trusted Connect Service Client","1.44.401.1","Intel Corporation","20180206"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - DEU","10.0.50903","Microsoft Corporation","20180315"
"Microsoft SQL Server 2008 Native Client","10.0.1600.22","Microsoft Corporation","20180206"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Intel(R) Management Engine Components","11.7.0.1004","Intel Corporation",
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20180315"
"Microsoft Update Health Tools","2.84.0.0","Microsoft Corporation","20211001"
"Intel® Software Guard Extensions Platform Software","1.6.101.32869","Intel Corporation","20180206"
"Update for Windows 10 for x64-based Systems (KB4023057)","2.63.0.0","Microsoft Corporation","20190902"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20180206"
"Update for Windows 10 for x64-based Systems (KB4480730)","2.53.0.0","Microsoft Corporation","20191206"
"Windows Setup Remediations (x64) (KB4023057)",,,
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20180206"
"Microsoft VC++ redistributables repacked.","12.0.0.0","Intel Corporation","20180206"
"Intel(R) Chipset Device Software","10.1.1.38","Intel Corporation","20180206"
"Java 9.0.4 (64-bit)","9.0.4.0","Oracle Corporation","20180425"
"Office 16 Click-to-Run Licensing Component","16.0.18227.20162","Microsoft Corporation","20241213"
"Office 16 Click-to-Run Extensibility Component 64-bit Registration","16.0.18227.20082","Microsoft Corporation","20241209"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.50908","Microsoft Corporation","20180315"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.28402","Microsoft","20241114"
"Adobe Acrobat (64-bit)","24.005.20320","Adobe","20241210"
"Microsoft HEVC Media Extension Installation for Microsoft.HEVCVideoExtension_1.0.2512.0_x64__8wekyb3d8bbwe (x64)","1.0.0.0","Microsoft Corporation","20180130"
"NVIDIA Ansel","7.0.636.0","NVIDIA Corporation","20210324"
"NVIDIA Systemsteuerung 456.71","456.71","NVIDIA Corporation","20210427"
"NVIDIA Grafiktreiber 456.71","456.71","NVIDIA Corporation","20210427"
"NVIDIA HD-Audiotreiber 1.3.38.35","1.3.38.35","NVIDIA Corporation","20210427"
"NVIDIA Install Application","2.1002.346.0","NVIDIA Corporation","20210427"
"NVIDIA Display MessageBus","456.71","NVIDIA Corporation","20210427"
"NVIDIA Display Container","1.28","NVIDIA Corporation","20210427"
"NVIDIA Display Container LS","1.28","NVIDIA Corporation","20210427"
"NVIDIA Display Watchdog Plugin","1.28","NVIDIA Corporation","20210427"
"NVIDIA Display Session Container","1.28","NVIDIA Corporation","20210427"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20240318"
"Intel(R) ME UninstallLegacy","1.0.1.0","Intel Corporation","20180206"
"Securepoint Antivirus Pro","3.5.13","Securepoint GmbH","20220317"
"UpdateAssistant","1.24.0.0","Microsoft Corporation","20191018"
